,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Ken Willis 49 yard field goal,0,3
1,1.0,Cowboys,Michael Irvin 12 yard pass from Troy Aikman (Ken Willis kick),0,10
2,2.0,Redskins,Earnest Byner 5 yard rush (Chip Lohmiller kick),7,10
3,3.0,Redskins,Chip Lohmiller 25 yard field goal,10,10
4,3.0,Redskins,Ricky Sanders 6 yard pass from Mark Rypien (Chip Lohmiller kick),17,10
5,3.0,Cowboys,Emmitt Smith 1 yard rush (Ken Willis kick),17,17
6,4.0,Cowboys,Ken Willis 41 yard field goal,17,20
7,4.0,Cowboys,Emmitt Smith 48 yard rush (Ken Willis kick),17,27
