,Quarter,Tm,Detail,TAM,GNB
0,2.0,Packers,"Safety, Paup tackled Testaverde in end zone",0,2
1,2.0,Packers,Chris Jacke 24 yard field goal,0,5
2,3.0,Buccaneers,Steve Christie 31 yard field goal,3,5
3,4.0,Buccaneers,Steve Christie 22 yard field goal,6,5
4,4.0,Buccaneers,Willie Drewrey 87 yard pass from Vinny Testaverde (Steve Christie kick),13,5
5,4.0,Packers,Vince Workman 8 yard pass from Don Majkowski (Chris Jacke kick),13,12
6,4.0,Packers,Chris Jacke 22 yard field goal,13,15
