,Quarter,Tm,Detail,DEN,SEA
0,1,Broncos,Jim Turner 34 yard field goal,3,0
1,1,Seahawks,Sam McCullum 44 yard pass from Jim Zorn (Efren Herrera kick),3,7
2,2,Seahawks,Jim Zorn 4 yard rush (Efren Herrera kick),3,14
3,2,Broncos,Rick Upchurch 29 yard pass from Craig Morton (Jim Turner kick),10,14
4,3,Broncos,Lonnie Perrin 1 yard rush (Jim Turner kick),17,14
5,4,Seahawks,Efren Herrera 37 yard field goal,17,17
6,OT,Broncos,Jim Turner 18 yard field goal,20,17
