,Quarter,Tm,Detail,BOS,NYG
0,1.0,Giants,Frank Liebel 57 yard pass from Frank Filchock (Ken Strong kick),0,7
1,1.0,Yanks,Hal Crisler 27 yard pass from Paul Governali (Nick Scollard kick),7,7
2,2.0,Giants,Merle Hapes 9 yard rush (Ken Strong kick),7,14
3,2.0,Giants,Jim Poole 4 yard pass from Frank Filchock (Ken Strong kick),7,21
4,2.0,Yanks,Gary Famiglietti 2 yard rush (Nick Scollard kick),14,21
5,3.0,Giants,Steve Filipowicz 1 yard rush (Ken Strong kick),14,28
6,4.0,Yanks,Paul Governali 1 yard rush (Nick Scollard kick),21,28
7,4.0,Yanks,Hal Crisler 6 yard pass from Paul Governali (Nick Scollard kick),28,28
