,Quarter,Time,Tm,Detail,PHI,PIT
0,1.0,1:07,Steelers,Chase Claypool 2 yard rush (Chris Boswell kick),0,7
1,1.0,0:19,Eagles,Miles Sanders 74 yard rush (Jake Elliott kick),7,7
2,2.0,11:57,Steelers,Chase Claypool 32 yard pass from Ben Roethlisberger (Chris Boswell kick),7,14
3,2.0,6:21,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),14,14
4,2.0,2:00,Steelers,Chris Boswell 41 yard field goal,14,17
5,3.0,13:04,Steelers,Chase Claypool 5 yard pass from Ben Roethlisberger (Chris Boswell kick),14,24
6,3.0,10:35,Steelers,James Conner 1 yard rush (Chris Boswell kick),14,31
7,3.0,6:03,Eagles,Greg Ward 8 yard pass from Carson Wentz (John Hightower pass from Carson Wentz ),22,31
8,4.0,11:30,Eagles,Travis Fulgham 4 yard pass from Carson Wentz (Jake Elliott kick),29,31
9,4.0,3:04,Steelers,Chase Claypool 35 yard pass from Ben Roethlisberger (Chris Boswell kick),29,38
