,Quarter,Time,Tm,Detail,DAL,NWE
0,1.0,0:50,Patriots,N'Keal Harry 10 yard pass from Tom Brady (Nick Folk kick),0,7
1,2.0,12:51,Patriots,Nick Folk 44 yard field goal,0,10
2,2.0,8:40,Cowboys,Brett Maher 46 yard field goal,3,10
3,2.0,2:31,Cowboys,Brett Maher 27 yard field goal,6,10
4,4.0,9:37,Patriots,Nick Folk 42 yard field goal,6,13
5,4.0,6:08,Cowboys,Brett Maher 29 yard field goal,9,13
