,Quarter,Tm,Detail,PHI,CRD
0,2.0,Eagles,Bobby Walston 22 yard pass from Bill Mackrides (Bobby Walston kick),7,0
1,2.0,Eagles,Bobby Walston 23 yard field goal,10,0
2,3.0,Eagles,Pete Pihos 19 yard pass from Adrian Burk (Bobby Walston kick),17,0
3,3.0,Cardinals,Elmer Angsman 28 yard rush (Vinnie Yablonski kick),17,7
4,4.0,Cardinals,Elmer Angsman 2 yard rush (Vinnie Yablonski kick),17,14
