,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,,Packers,Chris Jacke 23 yard field goal,3,0
1,1.0,,Packers,Keith Jackson 1 yard pass from Brett Favre (Chris Jacke kick),10,0
2,2.0,,Buccaneers,Michael Husted 48 yard field goal,10,3
3,2.0,,Packers,Keith Jackson 4 yard pass from Brett Favre (Chris Jacke kick),17,3
4,2.0,0:49,Packers,Keith Jackson 51 yard pass from Brett Favre (Chris Jacke kick),24,3
5,3.0,0:49,Packers,Chris Jacke 40 yard field goal,27,3
6,3.0,0:49,Packers,Dorsey Levens 1 yard pass from Brett Favre (Chris Jacke kick),34,3
