,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),0,7
1,1.0,Chiefs,Mike Adamle 6 yard pass from Len Dawson (Jan Stenerud kick),7,7
2,2.0,Jets,Bobby Howfield 30 yard field goal,7,10
3,2.0,Chiefs,Jan Stenerud 19 yard field goal,10,10
4,4.0,Jets,Bobby Howfield 39 yard field goal,10,13
