,Quarter,Tm,Detail,NYG,KAN
0,1.0,Chiefs,Jan Stenerud 25 yard field goal,0,3
1,2.0,Chiefs,Arnold Morgado 1 yard rush (Jan Stenerud kick),0,10
2,3.0,Giants,Earnest Gray 53 yard pass from Phil Simms (Joe Danelo kick),7,10
3,3.0,Giants,Billy Taylor 3 yard rush (Joe Danelo kick),14,10
4,4.0,Chiefs,Henry Marshall 38 yard pass from Mike Livingston (Jan Stenerud kick),14,17
5,4.0,Giants,Harry Carson 22 yard defensive fumble return (Joe Danelo kick),21,17
