,Quarter,Tm,Detail,MIN,PHI
0,1.0,Eagles,Pete Retzlaff 21 yard pass from Sonny Jurgensen,0,6
1,2.0,Vikings,Tommy Wilson 2 yard rush (Fred Cox kick),7,6
2,2.0,Vikings,Fred Cox 43 yard field goal,10,6
3,2.0,Vikings,Fred Cox 39 yard field goal,13,6
4,3.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),20,6
5,3.0,Eagles,Ron Goodwin 22 yard pass from Sonny Jurgensen (Mike Clark kick),20,13
6,4.0,Vikings,Don Hultz 35 yard interception return (Fred Cox kick),27,13
7,4.0,Vikings,Bill Brown 5 yard rush (Fred Cox kick),34,13
