,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Don Cockroft 41 yard field goal,3,0
1,2.0,Browns,Don Cockroft 25 yard field goal,6,0
2,2.0,Browns,Larry Poole 12 yard rush (Don Cockroft kick),13,0
3,3.0,Bengals,Chris Bahr 25 yard field goal,13,3
