,Quarter,Tm,Detail,SDG,CLE
0,1.0,Browns,Reggie Rucker 3 yard pass from Brian Sipe (Don Cockroft kick),0,7
1,1.0,Browns,Greg Pruitt 1 yard rush (Don Cockroft kick),0,14
2,2.0,Chargers,Charlie Joiner 16 yard pass from Dan Fouts (Ray Wersching kick),7,14
3,2.0,Chargers,Sam Scarber 11 yard pass from Don Woods (Ray Wersching kick),14,14
4,3.0,Chargers,Ray Wersching 22 yard field goal,17,14
5,4.0,Browns,Oscar Roan 10 yard pass from Brian Sipe (Don Cockroft kick),17,21
