,Quarter,Tm,Detail,PHI,BOS
0,2.0,Redskins,Riley Smith 17 yard field goal,0,3
1,2.0,Redskins,Riley Smith 30 yard pass from Eddie Britt (Riley Smith kick),0,10
2,3.0,Redskins,Charley Malone 35 yard pass from Eddie Britt (Riley Smith kick),0,17
3,3.0,Eagles,Jim MacMurdo 15 yard touchdown on a lateral (Hank Reese kick),7,17
