,Quarter,Tm,Detail,PIT,DET
0,1.0,Lions,Billy Sims 2 yard rush (Eddie Murray kick),0,7
1,1.0,Lions,Eddie Murray 27 yard field goal,0,10
2,1.0,Lions,Ulysses Norris 13 yard pass from Eric Hipple (Eddie Murray kick),0,17
3,2.0,Steelers,Gary Anderson 38 yard field goal,3,17
4,2.0,Lions,Ulysses Norris 4 yard pass from Eric Hipple (Eddie Murray kick),3,24
5,3.0,Lions,Billy Sims 2 yard rush (Eddie Murray kick),3,31
6,4.0,Lions,Robbie Martin 81 yard punt return (Eddie Murray kick),3,38
7,4.0,Lions,Jeff Chadwick 5 yard pass from Gary Danielson (Eddie Murray kick),3,45
