,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,Richie Petitbon 33 yard interception return,6,0
1,1.0,Bears,John Aveni 33 yard field goal,9,0
2,2.0,Bears,Rick Casares 1 yard rush (John Aveni kick),16,0
3,2.0,Bears,Harlon Hill 35 yard pass from Ed Brown (John Aveni kick),23,0
4,3.0,Bears,John Aveni 42 yard field goal,26,0
5,4.0,Colts,Raymond Berry 7 yard pass from Johnny Unitas (Steve Myhra kick),26,7
6,4.0,Colts,Jim Mutscheller 4 yard pass from Johnny Unitas (Steve Myhra kick),26,14
7,4.0,Colts,Jim Mutscheller 13 yard pass from Johnny Unitas (Steve Myhra kick),26,21
