,Quarter,Tm,Detail,STL,NOR
0,1.0,Cardinals,Doug Marsh 11 yard pass from Neil Lomax (Neil O'Donoghue kick),7,0
1,2.0,Saints,Wayne Wilson 9 yard rush (Morten Andersen kick),7,7
2,2.0,Cardinals,Neil O'Donoghue 47 yard field goal,10,7
3,3.0,Saints,George Rogers 76 yard rush (Morten Andersen kick),10,14
4,3.0,Saints,George Rogers 1 yard rush (Morten Andersen kick),10,21
5,4.0,Saints,Kenny Duckett 35 yard pass from Dave Wilson (Morten Andersen kick),10,28
6,4.0,Cardinals,Pat Tilley 16 yard pass from Jim Hart (Neil O'Donoghue kick),17,28
