,Quarter,Tm,Detail,PIT,STL
0,1.0,Steelers,Roy Gerela 17 yard field goal,3,0
1,2.0,Steelers,Roy Gerela 20 yard field goal,6,0
2,2.0,Cardinals,Jim Bakken 19 yard field goal,6,3
3,2.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),13,3
4,2.0,Steelers,"Safety, D. Anderson tackled by R. Anderson in end zone",15,3
5,2.0,Cardinals,Jim Bakken 44 yard field goal,15,6
6,3.0,Cardinals,Donny Anderson 8 yard rush,15,12
7,4.0,Steelers,Roy Gerela 15 yard field goal,18,12
8,4.0,Cardinals,Norm Thompson 8 yard blocked punt return (Jim Bakken kick),18,19
9,4.0,Steelers,Frank Lewis 38 yard pass from Terry Bradshaw (Roy Gerela kick),25,19
