,Quarter,Tm,Detail,ATL,DET
0,1.0,Falcons,Mick Luckhurst 28 yard field goal,3,0
1,2.0,Falcons,Alfred Jackson 54 yard pass from Steve Bartkowski (Mick Luckhurst kick),10,0
2,2.0,Falcons,Ben Young 11 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,0
3,2.0,Lions,James Jones 1 yard rush (Eddie Murray kick),17,7
4,2.0,Falcons,Alfred Jackson 36 yard pass from Steve Bartkowski (Mick Luckhurst kick),24,7
5,3.0,Lions,Rob Rubick 6 yard pass from Gary Danielson (Eddie Murray kick),24,14
6,4.0,Falcons,Mick Luckhurst 42 yard field goal,27,14
7,4.0,Falcons,Mick Luckhurst 45 yard field goal,30,14
