,Quarter,Tm,Detail,CIN,SDG
0,1.0,Chargers,John Carney 21 yard field goal,0,3
1,1.0,Bengals,Jeff Query 83 yard pass from David Klingler (Jim Breech kick),7,3
2,2.0,Bengals,Jim Breech 48 yard field goal,10,3
3,2.0,Chargers,Anthony Miller 11 yard pass from Stan Humphries (John Carney kick),10,10
4,3.0,Chargers,Stan Humphries 1 yard rush (John Carney kick),10,17
5,3.0,Chargers,Rod Bernstine 7 yard rush (John Carney kick),10,24
6,4.0,Chargers,John Carney 48 yard field goal,10,27
