,Quarter,Tm,Detail,PIT,NOR
0,1.0,Saints,Charlie Durkee 37 yard field goal,0,3
1,2.0,Saints,Jim Taylor 2 yard rush (Charlie Durkee kick),0,10
2,4.0,Steelers,J.R. Wilburn 5 yard pass from Bill Nelsen (Mike Clark kick),7,10
3,4.0,Steelers,Don Shy 33 yard rush (Mike Clark kick),14,10
