,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Rodney Holman 32 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1.0,Steelers,Bubby Brister 1 yard rush (Gary Anderson kick),7,7
2,2.0,Bengals,Tim McGee 7 yard pass from Boomer Esiason (Jim Breech kick),7,14
3,2.0,Steelers,"Safety, Hayes forced out of end zone",9,14
4,3.0,Steelers,Earnest Jackson 1 yard rush (Gary Anderson kick),16,14
5,3.0,Steelers,Gary Anderson 24 yard field goal,19,14
6,4.0,Bengals,Jeff Hayes 61 yard rush (Jim Breech kick),19,21
7,4.0,Bengals,Jim Breech 40 yard field goal,19,24
8,4.0,Steelers,Gary Anderson 44 yard field goal,22,24
