,Quarter,Tm,Detail,LAB,CRD
0,1.0,Cardinals,Ike Mahoney 70 yard fumble return,0,6
1,1.0,Cardinals,Red Dunn 30 yard field goal,0,9
2,3.0,Cardinals,Jerry Lunz blocked punt recovery in end zone,0,15
