,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Jim Mitchell 9 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),7,0
1,2.0,Falcons,Haskel Stanback 26 yard rush (Nick Mike-Mayer kick),14,0
2,3.0,49ers,Steve Mike-Mayer 26 yard field goal,14,3
3,3.0,Falcons,Nick Mike-Mayer 27 yard field goal,17,3
