,Quarter,Tm,Detail,ATL,PHO
0,1.0,Cardinals,Greg Davis 29 yard field goal,0,3
1,1.0,Falcons,Mike Pritchard 21 yard pass from Chris Miller (Norm Johnson kick),7,3
2,2.0,Falcons,Norm Johnson 29 yard field goal,10,3
3,3.0,Cardinals,Randal Hill 31 yard pass from Tom Tupa (Greg Davis kick),10,10
4,3.0,Cardinals,Greg Davis 51 yard field goal,10,13
5,4.0,Cardinals,Greg Davis 49 yard field goal,10,16
