,Quarter,Time,Tm,Detail,BUF,SDG
0,1.0,7:52,Chargers,Antonio Gates 9 yard pass from Philip Rivers (Nick Novak kick),0,7
1,2.0,14:16,Chargers,Mike Tolbert 1 yard rush (Nick Novak kick failed),0,13
2,2.0,6:41,Chargers,Nick Novak 47 yard field goal,0,16
3,3.0,11:43,Bills,Dave Rayner 37 yard field goal,3,16
4,3.0,10:11,Bills,Bryan Scott defensive fumble recovery in end zone (Dave Rayner kick),10,16
5,3.0,4:11,Chargers,Antonio Gates 2 yard pass from Philip Rivers (Nick Novak kick),10,23
6,3.0,4:02,Chargers,Steve Gregory 26 yard interception return (Nick Novak kick),10,30
7,4.0,9:01,Chargers,Patrick Crayton 26 yard pass from Philip Rivers (Nick Novak kick),10,37
