,Quarter,Tm,Detail,MIA,ATL
0,1.0,Dolphins,Garo Yepremian 9 yard field goal,3,0
1,2.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),10,0
2,2.0,Dolphins,Garo Yepremian 43 yard field goal,13,0
3,4.0,Falcons,Paul Gipson 5 yard pass from Bob Berry (Ken Vinyard kick),13,7
4,4.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),20,7
