,Quarter,Time,Tm,Detail,CAR,WAS
0,1,5:04,Panthers,Wesley Walls 2 yard pass from Chris Weinke (John Kasay kick),7,0
1,4,12:58,Panthers,Tim Biakabutuka 10 yard rush (John Kasay kick),14,0
2,4,10:10,Redskins,LaVar Arrington 67 yard interception return (Brett Conway kick),14,7
3,4,7:25,Redskins,Rod Gardner 85 yard pass from Tony Banks (Brett Conway kick),14,14
4,OT,13:08,Redskins,Brett Conway 23 yard field goal,14,17
