,Quarter,Tm,Detail,SFO,CHI
0,1,Bears,John Dottley 77 yard pass from Johnny Lujack,0,6
1,3,Bears,Johnny Lujack 1 yard rush (Johnny Lujack kick),0,13
2,4,49ers,Gordie Soltau 41 yard pass from Y.A. Tittle (Gordie Soltau kick),7,13
