,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,David Hill 2 yard pass from Gary Danielson (Benny Ricardo kick),0,7
1,2.0,Buccaneers,Jim Obradovich 12 yard pass from Mike Rae (Neil O'Donoghue kick),7,7
2,2.0,Buccaneers,Neil O'Donoghue 27 yard field goal,10,7
3,2.0,Lions,Horace King 75 yard rush (Benny Ricardo kick),10,14
4,2.0,Buccaneers,Neil O'Donoghue 45 yard field goal,13,14
5,2.0,Lions,David Hill 14 yard pass from Gary Danielson (Benny Ricardo kick),13,21
6,3.0,Lions,Dexter Bussey 1 yard rush (Benny Ricardo kick),13,28
7,4.0,Lions,Benny Ricardo 38 yard field goal,13,31
8,4.0,Buccaneers,Neil O'Donoghue 28 yard field goal,16,31
9,4.0,Lions,Benny Ricardo 28 yard field goal,16,34
10,4.0,Buccaneers,George Ragsdale 31 yard pass from Gary Huff (Neil O'Donoghue kick),23,34
