,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,12:03,Patriots,Antowain Smith 9 yard rush (Adam Vinatieri kick),7,0
1,1.0,3:39,Dolphins,Lamar Smith 7 yard rush (Olindo Mare kick),7,7
2,2.0,14:21,Dolphins,Olindo Mare 19 yard field goal,7,10
3,2.0,6:42,Patriots,Adam Vinatieri 37 yard field goal,10,10
4,2.0,0:07,Dolphins,Jed Weaver 14 yard pass from Jay Fiedler (Olindo Mare kick),10,17
5,3.0,7:58,Dolphins,Olindo Mare 34 yard field goal,10,20
6,3.0,0:00,Dolphins,Jason Taylor 1 yard defensive fumble return (Olindo Mare kick),10,27
7,4.0,2:08,Dolphins,Olindo Mare 27 yard field goal,10,30
