,Quarter,Tm,Detail,MIA,SDG
0,2.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),7,0
1,2.0,Chargers,Wayne Stewart 21 yard pass from Dan Fouts (Dennis Partee kick),7,7
2,3.0,Chargers,Don Woods 1 yard rush (Dennis Partee kick),7,14
3,3.0,Chargers,Don Woods 56 yard rush (Dennis Partee kick),7,21
4,4.0,Dolphins,Nat Moore 13 yard pass from Bob Griese (Garo Yepremian kick),14,21
5,4.0,Dolphins,Larry Csonka 3 yard rush (Garo Yepremian kick),21,21
6,4.0,Dolphins,Jim Kiick 3 yard rush (Garo Yepremian kick),28,21
