,Quarter,Tm,Detail,BAL,DEN
0,2.0,Broncos,Ron Egloff 7 yard pass from Craig Morton (Fred Steinfort kick),0,7
1,2.0,Broncos,Steve Watson 29 yard pass from Craig Morton (Fred Steinfort kick),0,14
2,3.0,Colts,Mike Wood 21 yard field goal,3,14
3,3.0,Colts,Curtis Dickey 63 yard rush (Mike Wood kick),10,14
4,3.0,Broncos,Steve Watson 18 yard pass from Craig Morton (Fred Steinfort kick),10,21
5,3.0,Broncos,Steve Watson 48 yard pass from Craig Morton (Fred Steinfort kick),10,28
