,Quarter,Tm,Detail,DET,HOU
0,2.0,Lions,Lem Barney 28 yard interception return (Errol Mann kick),7,0
1,2.0,Lions,Steve Owens 10 yard rush (Errol Mann kick),14,0
2,2.0,Oilers,Charlie Joiner 58 yard pass from Dan Pastorini (Mark Moseley kick),14,7
3,3.0,Lions,Errol Mann 13 yard field goal,17,7
4,4.0,Lions,Altie Taylor 35 yard pass from Greg Landry (Errol Mann kick),24,7
5,4.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),31,7
