,Quarter,Time,Tm,Detail,GNB,NYG
0,1.0,5:34,Giants,Rueben Randle 26 yard pass from Eli Manning (Josh Brown kick),0,7
1,2.0,14:03,Giants,Josh Brown 40 yard field goal,0,10
2,2.0,10:21,Packers,Mason Crosby 24 yard field goal,3,10
3,2.0,0:00,Packers,Mason Crosby 57 yard field goal,6,10
4,3.0,10:06,Giants,Josh Brown 28 yard field goal,6,13
5,3.0,0:25,Giants,Brandon Jacobs 1 yard rush (Josh Brown kick),6,20
6,4.0,12:43,Packers,Eddie Lacy 4 yard rush (Mason Crosby kick),13,20
7,4.0,10:49,Giants,Jason Pierre-Paul 24 yard interception return (Josh Brown kick),13,27
