,Quarter,Tm,Detail,MIA,GNB
0,1.0,Packers,Al Del Greco 22 yard field goal,0,3
1,1.0,Dolphins,Tony Nathan 10 yard pass from Dan Marino,6,3
2,2.0,Dolphins,Mark Clayton 21 yard pass from Dan Marino (Fuad Reveiz kick),13,3
3,2.0,Dolphins,Nat Moore 16 yard pass from Dan Marino (Fuad Reveiz kick),20,3
4,3.0,Packers,Preston Dennard 29 yard pass from Jim Zorn (Al Del Greco kick),20,10
5,3.0,Packers,James Lofton 56 yard pass from Jim Zorn (Al Del Greco kick),20,17
6,4.0,Packers,Eddie Lee Ivery 1 yard rush (Al Del Greco kick),20,24
7,4.0,Dolphins,Joe Rose 2 yard pass from Dan Marino (Fuad Reveiz kick),27,24
8,4.0,Dolphins,Dan Johnson 61 yard pass from Dan Marino (Fuad Reveiz kick),34,24
