,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Pete Mandley 8 yard pass from Chuck Long (Eddie Murray kick),7,0
1,2.0,Buccaneers,Donald Igwebuike 44 yard field goal,7,3
2,2.0,Lions,Eddie Murray 24 yard field goal,10,3
3,3.0,Lions,Eddie Murray 37 yard field goal,13,3
4,4.0,Lions,Gary Ellerson 6 yard rush (Eddie Murray kick),20,3
5,4.0,Buccaneers,Bruce Hill 28 yard pass from Vinny Testaverde (Donald Igwebuike kick),20,10
