,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Doug Dennison 3 yard rush (Efren Herrera kick),7,0
1,3.0,Cowboys,Roger Staubach 1 yard rush (Efren Herrera kick),14,0
2,3.0,Cowboys,Efren Herrera 37 yard field goal,17,0
3,4.0,Cowboys,Efren Herrera 21 yard field goal,20,0
4,4.0,Redskins,Roy Jefferson 7 yard pass from Joe Theismann (Mark Moseley kick),20,7
