,Quarter,Tm,Detail,NYY,WAS
0,1.0,Redskins,Pete Stout 1 yard rush (Dick Poillon kick),0,7
1,2.0,Redskins,Hal Crisler 25 yard pass from Sammy Baugh (Dick Poillon kick),0,14
2,2.0,Redskins,Hal Crisler 32 yard pass from Sammy Baugh (Dick Poillon kick),0,21
3,2.0,Bulldogs,Bobby Layne 1 yard rush (Nick Scollard kick),7,21
4,3.0,Bulldogs,Ralph Heywood fumble recovery in end zone (Nick Scollard kick),14,21
5,3.0,Redskins,Hal Crisler 44 yard pass from Sammy Baugh (Dick Poillon kick),14,28
6,3.0,Redskins,Dick Poillon 21 yard field goal,14,31
7,4.0,Redskins,Harry Dowda 67 yard pass from Sammy Baugh (Dick Poillon kick),14,38
