,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,Tommy Davis 44 yard field goal,0,3
1,1.0,49ers,Tommy Davis 46 yard field goal,0,6
2,2.0,49ers,Monty Stickles 9 yard pass from John Brodie (Tommy Davis kick),0,13
3,2.0,Vikings,Tommy Mason 2 yard rush (Fred Cox kick),7,13
4,2.0,49ers,Dave Parks 5 yard pass from John Brodie (Tommy Davis kick),7,20
5,3.0,Vikings,Bill Brown 33 yard rush (Fred Cox kick),14,20
6,3.0,Vikings,Fred Cox 26 yard field goal,17,20
7,4.0,Vikings,Fred Cox 31 yard field goal,20,20
