,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,"Safety, holding penalty in SF end zone",2,0
1,1.0,Colts,Dick Bielski 37 yard field goal,5,0
2,2.0,49ers,Tommy Davis 24 yard field goal,5,3
3,3.0,Colts,Lenny Moore 6 yard pass from Johnny Unitas (Dick Bielski kick),12,3
4,4.0,Colts,Dick Bielski 20 yard field goal,15,3
5,4.0,Colts,Alex Hawkins 9 yard rush (Dick Bielski kick),22,3
