,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Gary Anderson 34 yard field goal,3,0
1,1.0,Browns,Rocky Belk 64 yard pass from Brian Sipe,3,6
2,1.0,Browns,Matt Bahr 30 yard field goal,3,9
3,2.0,Browns,Harry Holt 3 yard pass from Brian Sipe (Matt Bahr kick),3,16
4,2.0,Steelers,Cliff Stoudt 3 yard rush (Gary Anderson kick),10,16
5,2.0,Browns,Ricky Feacher 4 yard pass from Brian Sipe (Matt Bahr kick),10,23
6,3.0,Browns,Harry Holt 1 yard pass from Brian Sipe (Matt Bahr kick),10,30
7,4.0,Steelers,Franco Harris 2 yard pass from Mark Malone (Gary Anderson kick),17,30
