,Quarter,Time,Tm,Detail,TEN,CLE
0,1.0,10:11,Titans,Al Del Greco 33 yard field goal,3,0
1,1.0,5:43,Titans,Eddie George 1 yard rush (Al Del Greco kick),10,0
2,2.0,11:49,Titans,Eddie George 2 yard rush (Al Del Greco kick),17,0
3,4.0,12:51,Titans,Eddie George 35 yard rush (Al Del Greco kick),24,0
