,Quarter,Tm,Detail,SFO,NOR
0,2.0,49ers,Vic Washington 4 yard rush (Bruce Gossett kick),7,0
1,2.0,49ers,Bruce Gossett 14 yard field goal,10,0
2,3.0,Saints,"Safety, Owens blocked punt through end zone",10,2
3,3.0,49ers,Bruce Gossett 36 yard field goal,13,2
4,3.0,49ers,Gene Washington 6 yard pass from John Brodie (Bruce Gossett kick),20,2
5,4.0,49ers,Ted Kwalick 5 yard pass from John Brodie (Bruce Gossett kick),27,2
6,4.0,49ers,Bruce Gossett 27 yard field goal,30,2
7,4.0,49ers,Mike Simpson 32 yard interception return (Bruce Gossett kick),37,2
