,Quarter,Tm,Detail,PHO,TAM
0,1.0,Buccaneers,Ken Willis 40 yard field goal,0,3
1,2.0,Cardinals,Anthony Thompson 3 yard rush (Greg Davis kick),7,3
2,2.0,Buccaneers,Reggie Cobb 1 yard rush (Ken Willis kick),7,10
3,3.0,Buccaneers,Ken Willis 45 yard field goal,7,13
4,3.0,Buccaneers,Ron Hall 1 yard pass from Vinny Testaverde (Ken Willis kick),7,20
5,4.0,Buccaneers,Ken Willis 23 yard field goal,7,23
