,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,11:50,Giants,Amani Toomer 52 yard pass from Eli Manning (Lawrence Tynes kick),7,0
1,2.0,14:56,Cowboys,Terrell Owens 5 yard pass from Tony Romo (Nick Folk kick),7,7
2,2.0,0:53,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),7,14
3,2.0,0:07,Giants,Amani Toomer 4 yard pass from Eli Manning (Lawrence Tynes kick),14,14
4,3.0,6:53,Cowboys,Nick Folk 34 yard field goal,14,17
5,4.0,13:29,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),21,17
