,Quarter,Time,Tm,Detail,DET,SEA
0,1.0,6:18,Lions,Brandon Pettigrew 7 yard pass from Matthew Stafford (Jason Hanson kick),7,0
1,1.0,5:19,Lions,Bryant Johnson 29 yard pass from Matthew Stafford (Jason Hanson kick),14,0
2,1.0,0:43,Lions,Jason Hanson 41 yard field goal,17,0
3,2.0,10:47,Seahawks,Julius Jones 3 yard rush (Olindo Mare kick),17,7
4,2.0,3:00,Seahawks,Olindo Mare 37 yard field goal,17,10
5,2.0,0:02,Seahawks,Olindo Mare 37 yard field goal,17,13
6,3.0,9:24,Seahawks,Olindo Mare 24 yard field goal,17,16
7,3.0,2:32,Seahawks,T.J. Houshmandzadeh 2 yard pass from Matt Hasselbeck (pass failed),17,22
8,4.0,10:09,Seahawks,Olindo Mare 20 yard field goal,17,25
9,4.0,8:04,Lions,Jason Hanson 50 yard field goal,20,25
10,4.0,0:22,Seahawks,Josh Wilson 61 yard interception return (Olindo Mare kick),20,32
