,Quarter,Time,Tm,Detail,CAR,BAL
0,1.0,2:35,Panthers,John Kasay 21 yard field goal,3,0
1,2.0,8:33,Ravens,Mark Clayton 14 yard pass from Kyle Boller (Matt Stover kick),3,7
2,2.0,4:16,Panthers,Drew Carter 42 yard pass from Jake Delhomme (John Kasay kick),10,7
3,2.0,0:04,Panthers,John Kasay 31 yard field goal,13,7
4,4.0,7:02,Panthers,John Kasay 21 yard field goal,16,7
5,4.0,4:33,Ravens,Mark Clayton 62 yard pass from Kyle Boller (Matt Stover kick),16,14
6,4.0,4:15,Panthers,Steve Smith 72 yard pass from Jake Delhomme (John Kasay kick),23,14
7,4.0,2:13,Ravens,Todd Heap 7 yard pass from Kyle Boller (Matt Stover kick),23,21
