,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,Jim Turner 41 yard field goal,3,0
1,1.0,Chiefs,Willie Ellison 1 yard rush (Jan Stenerud kick),3,7
2,2.0,Chiefs,Bobby Bell 28 yard interception return (Jan Stenerud kick),3,14
3,3.0,Broncos,Jon Keyworth 2 yard rush (Jim Turner kick),10,14
4,4.0,Broncos,Jon Keyworth 3 yard rush (Jim Turner kick),17,14
