,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Mal Hammack 3 yard rush (Bobby Joe Conrad kick),7,0
1,1.0,Eagles,Pete Retzlaff 21 yard pass from Norm Van Brocklin (Bobby Walston kick),7,7
2,2.0,Cardinals,Joe Childress 23 yard pass from John David Crow (Bobby Joe Conrad kick),14,7
3,2.0,Eagles,Pete Retzlaff 13 yard pass from Norm Van Brocklin (Bobby Walston kick),14,14
4,2.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),14,21
5,3.0,Cardinals,Gerry Perry 18 yard field goal,17,21
6,4.0,Eagles,Bobby Walston 27 yard field goal,17,24
7,4.0,Cardinals,John David Crow 46 yard rush (Bobby Joe Conrad kick),24,24
8,4.0,Cardinals,Gerry Perry 12 yard field goal,27,24
9,4.0,Eagles,Tommy McDonald 11 yard pass from Norm Van Brocklin (Bobby Walston kick),27,31
