,Quarter,Time,Tm,Detail,NYG,CLE
0,1.0,1:45,Browns,Phil Dawson 19 yard field goal,0,3
1,2.0,11:19,Giants,Brad Daluiso 39 yard field goal,3,3
2,2.0,1:55,Giants,Ike Hilliard 28 yard pass from Kerry Collins (Brad Daluiso kick),10,3
3,3.0,5:19,Giants,Amani Toomer 17 yard pass from Kerry Collins (Brad Daluiso kick),17,3
4,4.0,12:38,Giants,Amani Toomer 32 yard pass from Kerry Collins (Brad Daluiso kick),24,3
