,Quarter,Time,Tm,Detail,CHI,JAX
0,1.0,3:18,Jaguars,Reggie Williams 6 yard pass from Byron Leftwich (Josh Scobee kick),0,7
1,2.0,1:44,Bears,Paul Edinger 42 yard field goal,3,7
2,2.0,0:31,Jaguars,Josh Scobee 30 yard field goal,3,10
3,3.0,5:36,Jaguars,Josh Scobee 25 yard field goal,3,13
4,4.0,13:48,Jaguars,"Safety,",3,15
5,4.0,9:26,Jaguars,Jimmy Smith 31 yard pass from Byron Leftwich (Josh Scobee kick),3,22
