,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Stanley Morgan 25 yard pass from Steve Grogan,0,6
1,1.0,Colts,Don McCauley 1 yard rush (Steve Mike-Mayer kick),7,6
2,2.0,Patriots,Don Calhoun 1 yard rush (John Smith kick),7,13
3,2.0,Patriots,Harold Jackson 5 yard pass from Steve Grogan (John Smith kick),7,20
4,2.0,Patriots,Rick Sanford 8 yard blocked punt return (John Smith kick),7,27
5,2.0,Patriots,John Smith 24 yard field goal,7,30
6,2.0,Patriots,John Smith 29 yard field goal,7,33
7,3.0,Patriots,Stanley Morgan 80 yard punt return (John Smith kick),7,40
8,3.0,Patriots,John Smith 42 yard field goal,7,43
9,3.0,Colts,Nesby Glasgow 75 yard punt return (Steve Mike-Mayer kick),14,43
10,4.0,Patriots,Allan Clark 15 yard rush (John Smith kick),14,50
11,4.0,Colts,Glenn Doughty 10 yard pass from Greg Landry (Steve Mike-Mayer kick),21,50
