,Quarter,Time,Tm,Detail,PHI,DAL
0,2.0,8:52,Cowboys,Nick Folk 33 yard field goal,0,3
1,2.0,0:16,Eagles,Reggie Brown 1 yard pass from Donovan McNabb (David Akers kick),7,3
2,3.0,8:26,Cowboys,Nick Folk 23 yard field goal,7,6
3,4.0,13:27,Eagles,David Akers 21 yard field goal,10,6
