,Quarter,Tm,Detail,BAL,DET
0,1.0,Colts,Alan Ameche 1 yard rush,6,0
1,2.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),13,0
2,2.0,Lions,Jim Doran 19 yard pass from Earl Morrall (Jim Martin kick),13,7
3,3.0,Colts,L.G. Dupre 3 yard rush (Steve Myhra kick),20,7
4,4.0,Lions,Yale Lary 71 yard punt return (Jim Martin kick),20,14
5,4.0,Colts,Lenny Moore 11 yard rush (Steve Myhra kick),26,14
6,4.0,Colts,Jim Mutscheller 37 yard pass from Johnny Unitas (Steve Myhra kick),33,14
7,4.0,Colts,Lenny Lyles 27 yard rush (run failed),40,14
