,Quarter,Tm,Detail,BAL,DET
0,1.0,Lions,Jim Martin 52 yard field goal,0,3
1,1.0,Colts,Steve Myhra 48 yard field goal,3,3
2,2.0,Lions,Howard Cassady 3 yard rush (Jim Martin kick),3,10
3,2.0,Colts,Raymond Berry 22 yard pass from Johnny Unitas (Steve Myhra kick),10,10
4,2.0,Colts,Jim Mutscheller 3 yard pass from Johnny Unitas (Steve Myhra kick),17,10
5,3.0,Lions,Jim Ninowski 1 yard rush (Jim Martin kick),17,17
6,4.0,Lions,Jim Martin 51 yard field goal,17,20
7,4.0,Lions,Jim Martin 40 yard field goal,17,23
8,4.0,Lions,Night Train Lane 80 yard interception return (Jim Martin kick),17,30
