,Quarter,Tm,Detail,DAL,MIN
0,1.0,Cowboys,Mike Clark 12 yard field goal,3,0
1,2.0,Cowboys,Mike Clark 21 yard field goal,6,0
2,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),6,7
3,3.0,Cowboys,Craig Baynham 15 yard rush (Mike Clark kick),13,7
4,4.0,Cowboys,Cornell Green 55 yard interception return (Mike Clark kick),20,7
