,Quarter,Tm,Detail,DEN,RAM
0,1.0,Rams,Mike Guman 1 yard rush (Mike Lansford kick),0,7
1,2.0,Rams,Wendell Tyler 1 yard rush (Mike Lansford kick),0,14
2,2.0,Rams,Nolan Cromwell 17 yard rush (Mike Lansford kick),0,21
3,2.0,Broncos,Rick Upchurch 51 yard pass from Steve DeBerg (Rich Karlis kick),7,21
4,2.0,Broncos,Rick Parros 7 yard pass from Steve DeBerg (Rich Karlis kick),14,21
5,3.0,Broncos,Rich Karlis 47 yard field goal,17,21
6,4.0,Broncos,Rich Karlis 18 yard field goal,20,21
7,4.0,Broncos,Rick Parros 2 yard rush (Rich Karlis kick),27,21
8,4.0,Rams,Mike Lansford 39 yard field goal,27,24
