,Quarter,Time,Tm,Detail,NYG,NWE
0,1.0,5:01,Giants,Lawrence Tynes 32 yard field goal,3,0
1,2.0,14:57,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),3,7
2,4.0,11:05,Giants,David Tyree 5 yard pass from Eli Manning (Lawrence Tynes kick),10,7
3,4.0,2:42,Patriots,Randy Moss 6 yard pass from Tom Brady (Stephen Gostkowski kick),10,14
4,4.0,0:35,Giants,Plaxico Burress 13 yard pass from Eli Manning (Lawrence Tynes kick),17,14
