,Quarter,Time,Tm,Detail,MIN,ATL
0,1.0,5:24,Falcons,Matt Bryant 38 yard field goal,0,3
1,2.0,10:01,Vikings,Jerick McKinnon 2 yard pass from Case Keenum (Kai Forbath kick),7,3
2,2.0,5:47,Falcons,Matt Bryant 36 yard field goal,7,6
3,3.0,11:57,Falcons,Matt Bryant 47 yard field goal,7,9
4,4.0,14:56,Vikings,Kyle Rudolph 6 yard pass from Case Keenum (Kai Forbath kick),14,9
