,Quarter,Tm,Detail,MIN,STL
0,1.0,Cardinals,Jim Bakken 26 yard field goal,0,3
1,1.0,Vikings,John Beasley 12 yard pass from Joe Kapp (Fred Cox kick),7,3
2,2.0,Cardinals,Bob Rowe 18 yard interception return (Jim Bakken kick),7,10
3,2.0,Vikings,John Henderson 7 yard pass from Joe Kapp (Fred Cox kick),14,10
4,3.0,Vikings,John Henderson 39 yard pass from Joe Kapp (Fred Cox kick),21,10
5,4.0,Vikings,Fred Cox 21 yard field goal,24,10
6,4.0,Vikings,Fred Cox 15 yard field goal,27,10
