,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Gary Butler 5 yard pass from Mike Livingston (Jan Stenerud kick),0,7
1,2.0,Chiefs,Otis Taylor 24 yard pass from Mike Livingston (Jan Stenerud kick),0,14
2,3.0,Chiefs,Mike Livingston 3 yard rush (Jan Stenerud kick),0,21
3,3.0,Chiefs,Jan Stenerud 38 yard field goal,0,24
4,3.0,Oilers,Bob Gresham 62 yard pass from Lynn Dickey (Skip Butler kick),7,24
5,4.0,Oilers,Fred Willis 1 yard rush (Skip Butler kick),14,24
6,4.0,Chiefs,Willie Ellison 1 yard rush (Jan Stenerud kick),14,31
7,4.0,Chiefs,John Lohmeyer 19 yard defensive fumble return (Jan Stenerud kick),14,38
