,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,,Vikings,Greg Davis 33 yard field goal,3,0
1,2.0,,Bears,Jeff Jaeger 39 yard field goal,3,3
2,2.0,,Bears,Ricky Proehl 25 yard pass from Erik Kramer (Jeff Jaeger kick),3,10
3,3.0,,Vikings,Greg Davis 28 yard field goal,6,10
4,3.0,,Vikings,Orlando Thomas 22 yard defensive fumble return (Greg Davis kick),13,10
5,3.0,,Bears,Bobby Engram 10 yard pass from Erik Kramer (Jeff Jaeger kick),13,17
6,4.0,,Vikings,Jake Reed 21 yard pass from Brad Johnson (Greg Davis kick),20,17
7,4.0,,Bears,Raymont Harris 59 yard rush (Jeff Jaeger kick),20,24
8,4.0,,Vikings,Chris Walsh 9 yard pass from Brad Johnson (Greg Davis kick),27,24
