,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Hal Giancanelli 3 yard rush (Dick Bielski kick),7,0
1,2.0,Browns,Otto Graham 3 yard rush (Lou Groza kick),7,7
2,2.0,Eagles,Dick Bielski 50 yard field goal,10,7
3,2.0,Browns,Ed Modzelewski 28 yard pass from Otto Graham (Lou Groza kick),10,14
4,4.0,Eagles,Pete Pihos 4 yard pass from Adrian Burk (Dick Bielski kick),17,14
5,4.0,Browns,Dante Lavelli 5 yard pass from Otto Graham (Lou Groza kick),17,21
